MOLECULE_NAME,MECHANISM_OF_ACTION,TARGET_NAME
Burapitant,Neurokinin 1 receptor antagonist,Neurokinin 1 receptor
Trelanserin,Serotonin 1b (5-HT1b) receptor antagonist,Serotonin 1b (5-HT1b) receptor
Anatibant,Bradykinin B2 receptor antagonist,Bradykinin B2 receptor
Abt-126,Neuronal acetylcholine receptor protein alpha-7 subunit agonist,Neuronal acetylcholine receptor protein alpha-7 subunit
Tc-6499,Neuronal acetylcholine receptor; alpha3/beta4 agonist,Neuronal acetylcholine receptor; alpha3/beta4
Z160,Voltage-gated N-type calcium channel alpha-1B subunit blocker,Voltage-gated N-type calcium channel alpha-1B subunit
Tivantinib,Hepatocyte growth factor receptor inhibitor,Hepatocyte growth factor receptor
Momelotinib,Tyrosine-protein kinase JAK2 inhibitor,Tyrosine-protein kinase JAK2
Velcalcetide,Calcium sensing receptor agonist,Calcium sensing receptor
Gavilimomab,Basigin other,Basigin
Sb-742457,Serotonin 6 (5-HT6) receptor antagonist,Serotonin 6 (5-HT6) receptor
Darapladib,LDL-associated phospholipase A2 inhibitor,LDL-associated phospholipase A2
Di17e6,Integrin alpha-V/beta-6 inhibitor,Integrin alpha-V/beta-6
Vepalimomab,"Amine oxidase, copper containing inhibitor","Amine oxidase, copper containing"
Anatumomab Mafenatox,Trophoblast glycoprotein other,Trophoblast glycoprotein
Az-9773,TNF-alpha inhibitor,TNF-alpha
Exenatide,Glucagon-like peptide 1 receptor agonist,Glucagon-like peptide 1 receptor
Ethopropazine,Muscarinic acetylcholine receptor M1 antagonist,Muscarinic acetylcholine receptor M1
Dalteparin Sodium,Antithrombin-III activator,Antithrombin-III
Sorafenib,Tyrosine-protein kinase receptor FLT3 inhibitor,Tyrosine-protein kinase receptor FLT3
Carphenazine,Serotonin 2c (5-HT2c) receptor antagonist,Serotonin 2c (5-HT2c) receptor
Diphenoxylate,Mu opioid receptor agonist,Mu opioid receptor
Hydrocortisone,Glucocorticoid receptor agonist,Glucocorticoid receptor
Cortisone Acetate,Glucocorticoid receptor agonist,Glucocorticoid receptor
Rilpivirine,Human immunodeficiency virus type 1 reverse transcriptase inhibitor,Human immunodeficiency virus type 1 reverse transcriptase
Desvenlafaxine,Norepinephrine transporter inhibitor,Norepinephrine transporter
Menthol,Transient receptor potential cation channel subfamily M member 8 opener,Transient receptor potential cation channel subfamily M member 8
Vismodegib,Smoothened homolog inhibitor,Smoothened homolog
Fulvestrant,Estrogen receptor antagonist,Estrogen receptor
Tolazoline,Adrenergic receptor alpha antagonist,Adrenergic receptor alpha
Dobutamine,Beta-2 adrenergic receptor agonist,Beta-2 adrenergic receptor
Sibutramine,Monoamine transporter inhibitor,Monoamine transporter
Amdinocillin,Bacterial penicillin-binding protein 2 inhibitor,Bacterial penicillin-binding protein 2
Mercaptopurine,DNA inhibitor,DNA
Gemifloxacin,DNA gyrase inhibitor,DNA gyrase
Enflurane,Potassium channel subfamily K member 10 opener,Potassium channel subfamily K member 10
Pyrazinamide,70S ribosome inhibitor,70S ribosome
Carisoprodol,Unknown,
Unoprostone Isopropyl,Unknown,
Uridine Triacetate,Unknown,
Abt-700,Hepatocyte growth factor receptor inhibitor,Hepatocyte growth factor receptor
Aew-541,Insulin-like growth factor I receptor inhibitor,Insulin-like growth factor I receptor
Gsk-461364,Serine/threonine-protein kinase PLK1 inhibitor,Serine/threonine-protein kinase PLK1
Hmn-214,Serine/threonine-protein kinase PLK1 inhibitor,Serine/threonine-protein kinase PLK1
Jnj-26483327,Tyrosine-protein kinase Lyn inhibitor,Tyrosine-protein kinase Lyn
Rgb-286638,Cyclin-dependent kinase 5 inhibitor,Cyclin-dependent kinase 5
Tak-593,Platelet-derived growth factor receptor inhibitor,Platelet-derived growth factor receptor
Rg-1530,Tyrosine-protein kinase receptor FLT3 inhibitor,Tyrosine-protein kinase receptor FLT3
Elpetrigine,Voltage-gated P/Q-type calcium channel alpha-1A subunit blocker,Voltage-gated P/Q-type calcium channel alpha-1A subunit
Cc-401,c-Jun N-terminal kinase 2 inhibitor,c-Jun N-terminal kinase 2
Gandotinib,Tyrosine-protein kinase JAK2 inhibitor,Tyrosine-protein kinase JAK2
Tozasertib,Serine/threonine-protein kinase Aurora inhibitor,Serine/threonine-protein kinase Aurora
Triciribine Phosphate,Serine/threonine-protein kinase AKT inhibitor,Serine/threonine-protein kinase AKT
Batefenterol,Muscarinic acetylcholine receptor M3 antagonist,Muscarinic acetylcholine receptor M3
Saf312,Vanilloid receptor inhibitor,Vanilloid receptor
Pf-06372865,GABA-A receptor; anion channel agonist,GABA-A receptor; anion channel
Tesaglitazar,Peroxisome proliferator-activated receptor gamma agonist,Peroxisome proliferator-activated receptor gamma
Linsitinib,Insulin-like growth factor I receptor inhibitor,Insulin-like growth factor I receptor
Fostamatinib,Tyrosine-protein kinase SYK inhibitor,Tyrosine-protein kinase SYK
Bevenopran,Mu opioid receptor antagonist,Mu opioid receptor
Motesanib,Platelet-derived growth factor receptor inhibitor,Platelet-derived growth factor receptor
Sirukumab,Interleukin-6 inhibitor,Interleukin-6
Bectumomab,CD22 other,CD22
Lintuzumab,Myeloid cell surface antigen CD33 other,Myeloid cell surface antigen CD33
Rozrolimupab,Rhesus D antigen inhibitor,Blood group Rh(D) polypeptide
Telbermin,Vascular endothelial growth factor receptor 1 and 2 (Flt-1 and KDR) agonist,Vascular endothelial growth factor receptor 1 and 2 (Flt-1 and KDR)
Bimosiamose,Selectin inhibitor,Selectin
Nalfurafine,Kappa opioid receptor agonist,Kappa opioid receptor
Lifitegrast,Integrin alpha-L/beta-2 (LFA-1) antagonist,Integrin alpha-L/beta-2 (LFA-1)
Navitoclax,Apoptosis regulator Bcl-W inhibitor,Apoptosis regulator Bcl-W
Sontuzumab,Mucin-1 other,Mucin-1
Intetumumab,Integrin alpha-V/beta-1 antagonist,Integrin alpha-V/beta-1
Icm3,Intercellular adhesion molecule 3 inhibitor,Intercellular adhesion molecule 3
Rg-7652,Subtilisin/kexin type 9 inhibitor,Subtilisin/kexin type 9
Tol-101,T-cell receptor inhibitor,T-cell receptor
Sgn-30,Tumor necrosis factor receptor superfamily member 8 agonist,Tumor necrosis factor receptor superfamily member 8
Oxyphenonium,Muscarinic acetylcholine receptor M3 antagonist,Muscarinic acetylcholine receptor M3
Alteplase,Plasminogen activator,Plasminogen
Pyrilamine,Histamine H1 receptor antagonist,Histamine H1 receptor
Buclizine,Histamine H1 receptor antagonist,Histamine H1 receptor
Timolol,Beta-1 adrenergic receptor antagonist,Beta-1 adrenergic receptor
Mesalamine,Peroxisome proliferator-activated receptor gamma agonist,Peroxisome proliferator-activated receptor gamma
Alogliptin,Dipeptidyl peptidase IV inhibitor,Dipeptidyl peptidase IV
Mecasermin Rinfabate,Insulin-like growth factor I receptor agonist,Insulin-like growth factor I receptor
25-Hydroxycholecalciferol,Vitamin D receptor agonist,Vitamin D receptor
Tolcapone,Catechol O-methyltransferase inhibitor,Catechol O-methyltransferase
Cabozantinib,Vascular endothelial growth factor receptor 2 inhibitor,Vascular endothelial growth factor receptor 2
Acarbose,Maltase-glucoamylase inhibitor,Maltase-glucoamylase
Bretylium,Norepinephrine transporter substrate,Norepinephrine transporter
Topiramate,Carbonic anhydrase IV inhibitor,Carbonic anhydrase IV
Brentuximab Vedotin,Tubulin inhibitor,Tubulin
Anagrelide,Phosphodiesterase 3 inhibitor,Phosphodiesterase 3
Theophylline,Adenosine receptor antagonist,Adenosine receptor
Enzalutamide,Androgen Receptor antagonist,Androgen Receptor
Danazol,Androgen Receptor agonist,Androgen Receptor
Salmeterol,Beta-2 adrenergic receptor agonist,Beta-2 adrenergic receptor
Propafenone,Beta-2 adrenergic receptor antagonist,Beta-2 adrenergic receptor
Caspofungin,"1,3-beta-glucan synthase inhibitor","1,3-beta-glucan synthase"
Interferon Alfacon-1,Interferon alpha/beta receptor agonist,Interferon alpha/beta receptor
Procarbazine,DNA inhibitor,DNA
Lamivudine,DNA polymerase/reverse transcriptase inhibitor,DNA polymerase/reverse transcriptase
Ethotoin,Sodium channel alpha subunit blocker,Sodium channel alpha subunit
Monoctanoin,Unknown,
Primaquine,Unknown,
Samarium(Ii) Lexidronam,Unknown,
Asparaginase Erwinia Chrysanthemi,Asparagine hydrolytic enzyme,Asparagine
Ledipasvir,Nonstructural protein 5A inhibitor,Nonstructural protein 5A
Ferric Citrate,Phosphate sequestering agent,Phosphate
Pilocarpine,Muscarinic acetylcholine receptor M1 agonist,Muscarinic acetylcholine receptor M1
Sugammadex,Vecuronium sequestering agent,Vecuronium
Mgl-3196,Thyroid hormone receptor beta-1 agonist,Thyroid hormone receptor beta-1
Cerdulatinib,Tyrosine-protein kinase TYK2 inhibitor,Tyrosine-protein kinase TYK2
Ly-3009120,Serine/threonine-protein kinase B-raf inhibitor,Serine/threonine-protein kinase B-raf
Ly-3009120,Serine/threonine-protein kinase RAF inhibitor,Serine/threonine-protein kinase RAF
Rpr749,Adenosine A1 receptor agonist,Adenosine A1 receptor
Dsp-2230,Sodium channel protein type IX alpha subunit blocker,Sodium channel protein type IX alpha subunit
Dilmapimod,MAP kinase p38 alpha inhibitor,MAP kinase p38 alpha
Sar-103168,Unknown,
Xl-999,Vascular endothelial growth factor receptor inhibitor,Vascular endothelial growth factor receptor
Glasdegib,Smoothened homolog antagonist,Smoothened homolog
Elinogrel,Purinergic receptor P2Y12 antagonist,Purinergic receptor P2Y12
Tedatioxetine,Norepinephrine transporter inhibitor,Norepinephrine transporter
Tedatioxetine,Serotonin 2c (5-HT2c) receptor antagonist,Serotonin 2c (5-HT2c) receptor
Ono-2333ms,Corticotropin releasing factor receptor 1 antagonist,Corticotropin releasing factor receptor 1
Olcegepant,Calcitonin gene-related peptide type 1 receptor antagonist,Calcitonin gene-related peptide type 1 receptor
Qav680,G protein-coupled receptor 44 antagonist,G protein-coupled receptor 44
Surinabant,Cannabinoid CB1 receptor antagonist,Cannabinoid CB1 receptor
Azd1305,HERG blocker,HERG
Indantadol,Monoamine oxidase A inhibitor,Monoamine oxidase A
Alvocidib,Cyclin-dependent kinase 1 inhibitor,Cyclin-dependent kinase 1
Sarizotan,Serotonin 1a (5-HT1a) receptor agonist,Serotonin 1a (5-HT1a) receptor
Macimorelin,Ghrelin receptor agonist,Ghrelin receptor
Tabalumab,Tumor necrosis factor ligand superfamily member 13B inhibitor,Tumor necrosis factor ligand superfamily member 13B
Teglarinad,Nicotinamide phosphoribosyltransferase inhibitor,Nicotinamide phosphoribosyltransferase
Denufosol,Purinergic receptor P2Y2 agonist,Purinergic receptor P2Y2
Etirinotecan Pegol,DNA topoisomerase I inhibitor,DNA topoisomerase I
Obatoclax,Apoptosis regulator Bcl-W inhibitor,Apoptosis regulator Bcl-W
Cixutumumab,Insulin-like growth factor I receptor antagonist,Insulin-like growth factor I receptor
3f8,Disialoganglioside GD2 other,Disialoganglioside GD2
Ink-1117,PI3-kinase p110-alpha subunit inhibitor,PI3-kinase p110-alpha subunit
Glycopyrrolate,Muscarinic acetylcholine receptor M3 antagonist,Muscarinic acetylcholine receptor M3
Aflibercept,Vascular endothelial growth factor A inhibitor,Vascular endothelial growth factor A
Ponatinib,Tyrosine-protein kinase ABL inhibitor,Tyrosine-protein kinase ABL
Bumetanide,Sodium-(potassium)-chloride cotransporter 2 inhibitor,Sodium-(potassium)-chloride cotransporter 2
Heparin Calcium,Antithrombin-III activator,Antithrombin-III
Spironolactone,Mineralocorticoid receptor antagonist,Mineralocorticoid receptor
Morphine,Mu opioid receptor agonist,Mu opioid receptor
Alvimopan,Mu opioid receptor antagonist,Mu opioid receptor
Mometasone Furoate,Glucocorticoid receptor agonist,Glucocorticoid receptor
Delavirdine,Human immunodeficiency virus type 1 reverse transcriptase inhibitor,Human immunodeficiency virus type 1 reverse transcriptase
Isoetharine,Beta-2 adrenergic receptor agonist,Beta-2 adrenergic receptor
Thiabendazole,Tubulin inhibitor,Tubulin
Tubocurarine,Muscle-type nicotinic acetylcholine receptor antagonist,Muscle-type nicotinic acetylcholine receptor
Methyprylon,GABA-A receptor; anion channel positive allosteric modulator,GABA-A receptor; anion channel
Cefuroxime Axetil,Bacterial penicillin-binding protein inhibitor,Bacterial penicillin-binding protein
Ceftriaxone,Bacterial penicillin-binding protein inhibitor,Bacterial penicillin-binding protein
Oxacillin,Penicillin-binding protein inhibitor,Penicillin-binding protein
Spectinomycin,Bacterial 70S ribosome inhibitor,Bacterial 70S ribosome
Gramicidin,Cell membrane inhibitor,Cell membrane
Polymyxin B,Cell outer membrane inhibitor,Cell outer membrane
Desoxyribonuclease,DNA hydrolytic enzyme,DNA
Levofloxacin,DNA gyrase inhibitor,DNA gyrase
Lacosamide,Sodium channel alpha subunit blocker,Sodium channel alpha subunit
Norepinephrine,Adrenergic receptor agonist,Adrenergic receptor
Apomorphine,D2-like dopamine receptor agonist,D2-like dopamine receptor
Glucarpidase,Methotrexate hydrolytic enzyme,Methotrexate
Halothane,Potassium channel subfamily K member 9 opener,Potassium channel subfamily K member 9
Albumin Human,Bilirubin sequestering agent,Bilirubin
Raxibacumab,Protective antigen binding agent,Protective antigen
Palbociclib,CDK4/cyclin D1 inhibitor,Cyclin-dependent kinase 4/cyclin D1
Blinatumomab,B-lymphocyte antigen CD19 cross-linking agent,B-lymphocyte antigen CD19
Finafloxacin,Topoisomerase IV inhibitor,Topoisomerase IV
Erismodegib,Smoothened homolog inhibitor,Smoothened homolog
Idarucizumab,Dabigatran sequestering agent,Dabigatran
Cort 125134,Glucocorticoid receptor antagonist,Glucocorticoid receptor
Ct-1578,Tyrosine-protein kinase JAK2 inhibitor,Tyrosine-protein kinase JAK2
Cudc-907,PI3-kinase p110-alpha subunit inhibitor,PI3-kinase p110-alpha subunit
S-222611,Receptor protein-tyrosine kinase erbB-2 inhibitor,Receptor protein-tyrosine kinase erbB-2
Pbf-999,Adenosine A2a receptor antagonist,Adenosine A2a receptor
Srx251,Vasopressin V1a receptor antagonist,Vasopressin V1a receptor
Amg-517,Vanilloid receptor antagonist,Vanilloid receptor
Nw-3509,Sodium channel alpha subunit blocker,Sodium channel alpha subunit
Irampanel,Glutamate receptor ionotropic AMPA antagonist,Glutamate receptor ionotropic AMPA
Sodelglitazar,Peroxisome proliferator-activated receptor agonist,Peroxisome proliferator-activated receptor
Naveglitazar,Peroxisome proliferator-activated receptor gamma agonist,Peroxisome proliferator-activated receptor gamma
Xl-999,Platelet-derived growth factor receptor inhibitor,Platelet-derived growth factor receptor
Vibegron,Beta-3 adrenergic receptor agonist,Beta-3 adrenergic receptor
Lasmiditan,Serotonin 1f (5-HT1f) receptor agonist,Serotonin 1f (5-HT1f) receptor
Ly2590443,Serotonin 7 (5-HT7) receptor antagonist,Serotonin 7 (5-HT7) receptor
Azd1981,G protein-coupled receptor 44 antagonist,G protein-coupled receptor 44
Bvt.115959,Adenosine A2a receptor agonist,Adenosine A2a receptor
Gilteritinib,Tyrosine-protein kinase receptor UFO inhibitor,Tyrosine-protein kinase receptor UFO
Azd7325,GABA receptor alpha-3 subunit positive allosteric modulator,GABA receptor alpha-3 subunit
Neboglamine,Glutamate [NMDA] receptor positive allosteric modulator,Glutamate [NMDA] receptor
Cnv2197944,Voltage-gated N-type calcium channel alpha-1B subunit blocker,Voltage-gated N-type calcium channel alpha-1B subunit
Quizartinib,Tyrosine-protein kinase receptor RET inhibitor,Tyrosine-protein kinase receptor RET
Elagolix,Gonadotropin-releasing hormone receptor antagonist,Gonadotropin-releasing hormone receptor
Briakinumab,Interleukin-12 inhibitor,Interleukin-12
Tralokinumab,Interleukin-13 inhibitor,Interleukin-13
Alg-991,Urushiol inhibitor,Urushiol
Tafamidis,Transthyretin stabiliser,Transthyretin
Pixantrone,DNA cross-linking agent,DNA
Ulipristal,Progesterone receptor modulator,Progesterone receptor
Nivocasan,Caspase-8 inhibitor,Caspase-8
Navitoclax,Apoptosis regulator Bcl-2 inhibitor,Apoptosis regulator Bcl-2
Irinotecan Sucrosofate,DNA topoisomerase I inhibitor,DNA topoisomerase I
Faldaprevir,"Hepatitis C virus serine protease, NS3/NS4A inhibitor","Hepatitis C virus serine protease, NS3/NS4A"
Icrucumab,Vascular endothelial growth factor receptor 1 antagonist,Vascular endothelial growth factor receptor 1
Lmb-2,Interleukin-2 receptor alpha chain binding agent,Interleukin-2 receptor alpha chain
Parsatuzumab,Epidermal growth factor-like protein 7 inhibitor,Epidermal growth factor-like protein 7
Atropine,Muscarinic acetylcholine receptor M3 antagonist,Muscarinic acetylcholine receptor M3
Vorinostat,Histone deacetylase 1 inhibitor,Histone deacetylase 1
Fluphenazine Decanoate,Dopamine D2 receptor antagonist,Dopamine D2 receptor
Lutropin Alfa,Luteinizing hormone/Choriogonadotropin receptor agonist,Luteinizing hormone/Choriogonadotropin receptor
Olsalazine,Arachidonate 5-lipoxygenase inhibitor,Arachidonate 5-lipoxygenase
Benztropine,Muscarinic acetylcholine receptor M1 antagonist,Muscarinic acetylcholine receptor M1
Nadolol,Beta-1 adrenergic receptor antagonist,Beta-1 adrenergic receptor
Polythiazide,Thiazide-sensitive sodium-chloride cotransporter inhibitor,Thiazide-sensitive sodium-chloride cotransporter
Cinacalcet,Calcium sensing receptor positive allosteric modulator,Calcium sensing receptor
Phenprocoumon,Vitamin k epoxide reductase complex subunit 1 isoform 1 inhibitor,Vitamin k epoxide reductase complex subunit 1 isoform 1
Thyrotropin,Thyroid stimulating hormone receptor agonist,Thyroid stimulating hormone receptor
Lorcaserin,Serotonin 2c (5-HT2c) receptor agonist,Serotonin 2c (5-HT2c) receptor
Sufentanil,Mu opioid receptor agonist,Mu opioid receptor
Cycloserine,D-alanylalanine synthetase inhibitor,D-alanylalanine synthetase
Triamcinolone Hexacetonide,Glucocorticoid receptor agonist,Glucocorticoid receptor
Fenoldopam,Dopamine D1 receptor agonist,Dopamine D1 receptor
Milnacipran,Norepinephrine transporter inhibitor,Norepinephrine transporter
Levetiracetam,Voltage-gated N-type calcium channel alpha-1B subunit blocker,Voltage-gated N-type calcium channel alpha-1B subunit
