SYNONYMS,ATC_CODE,ATC_CODE_DESCRIPTION,INDICATION_CLASS
Denotivir (INN);,,,
"Fenethazine (DCF, INN, MI);",,,
Bevasiranib Sodium (USAN);,,,
Lutrelin Acetate (USAN);,,,LHRH Agonist
Minopafant (INN);,,,
Bedoradrine Sulfate (USAN);,,,
Bevirimat Dimeglumine (USAN); Bevirimat (INN);,,,
Metiprenaline (INN);,,,
Bepafant (INN);,,,
"Hydroxypethidine (BAN, INN, MI);",,,
"Glasdegib (INN, USAN);",,,
"Flutemetamol F-18 (USAN, FDA); Flutemetamol (18f) (INN);",,,
"Gadoxetate Disodium (FDA, USAN); Gadoxetic Acid (INN);",V08CA10,V08CA10 [VARIOUS: CONTRAST MEDIA: MAGNETIC RESONANCE IMAGING CONTRAST MEDIA: Paramagnetic contrast media],
Folitixorin (INN); Folitixorin Calcium (USAN);,,,
"Vinyl Ether (MI, USP);",N01AA02,"N01AA02 [NERVOUS SYSTEM: ANESTHETICS: ANESTHETICS, GENERAL: Ethers]",
Cetamolol HCl (USAN); Cetamolol (INN);,,,Anti-Adrenergic (beta-receptor)
Clentiazem (INN); Clentiazem Maleate (USAN);,,,Antagonist (calcium channel)
Atrasentan HCl (USAN); Atrasentan (INN);,,,
"Pipradrol (BAN, INN); Pipradrol HCl (JAN, MI, NF);",N06BX15,"N06BX15 [NERVOUS SYSTEM: PSYCHOANALEPTICS: PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS: Other psychostimulants and nootropics]",
Letimide HCl (USAN);,,,Analgesic
Mirincamycin (INN); Mirincamycin HCl (USAN);,,,Antimalarial; Antibacterial
"Phenacaine (INN); Phenacaine HCl (MI, USP);",,,
Azaloxan Fumarate (USAN);,,,Antidepressant
"Cefacetrile (BAN, INN); Cephacetrile Sodium (USAN, USP); Cefacetrile Sodium (JAN);",J01DB10,J01DB10 [ANTIINFECTIVES FOR SYSTEMIC USE: ANTIBACTERIALS FOR SYSTEMIC USE: OTHER BETA-LACTAM ANTIBACTERIALS: First-generation cephalosporins],Antibacterial
Teludipine HCl (USAN);,,,Antihypertensive; Antagonist (calcium channel)
Pelanserin HCl (USAN);,,,Vasodilator (serotonin S2 and alpha-1 adrenergic receptor blocker); Antihypertensive
"Menadione Sodium Bisulfite (INN, MI, USP);",,,
"Eucaine HCl (MI, NF);",,,
Livaraparin Calcium (INN);,,,
Polyethylene Glycol 1540 (NF);,,,
Exepanol (INN);,,,
Lorpiprazole (INN);,,,
Chagly cd3,,,
Detumomab (INN);,,,
"Lenograstim (BAN, INN, USAN);",L03AA10,L03AA10 [ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS: IMMUNOSTIMULANTS: IMMUNOSTIMULANTS: Colony stimulating factors],Hematopoietic Stimulant; Antineutropenic
"Zolimomab aritox (INN, USAN);",,,Monoclonal Antibody (antithrombotic)
"Mumps Virus Vaccine, Inactivated (NF);",,,
"Benzylsulfamide (DCF, INN, MI);",,,
"Starch, Pregelatinized (NF);",,,Pharmaceutic Aid (tablet excipient)
"Levorphanol (BAN, INN); Levorphanol Tartrate (FDA, USP);",,,Analgesic (narcotic)
Lecozotan (INN); Lecozotan HCl (USAN);,,,
Pravadoline (INN); Pravadoline Maleate (USAN);,,,Analgesic
Piboserod HCl (USAN); Piboserod (INN);,,,
Methylmethionine Sulfonium Chloride (JAN);,,,
Amiquinsin HCl (USAN);,,,Antihypertensive
"Pentamorphone (INN, USAN);",,,Analgesic (narcotic)
Dulofibrate (INN);,,,
"Racemorphan (BAN, INN);",,,
Tilsuprost (INN);,,,
"Basifungin (INN, USAN);",,,Antifungal
Lagatide (INN);,,,
Hydroxyapatite (BAN); Durapatite (USAN);,,,Prosthetic Aid
"Afoxolaner (INN, USAN);",,,
Aripiprazole lauroxil (FDA); Aripiprazole Lauroxil (USAN);,,,
Imilecleucel-T (USAN);,,,
Dexoxadrol (INN); Dexoxadrol HCl (USAN);,,,Stimulant (central); Analgesic
"Sulamserod HCl (INN, USAN); Sulamserod (INN);",,,
Fluripiridaz (18F) (USAN); Flurpiridaz (18f) (INN);,,,
AZD-1446,,,
Alprenoxime HCl (USAN);,,,Antiglaucoma Agent
APD-334,,,
Aptazapine Maleate (USAN); Aptazapine (INN);,,,Antidepressant
Pirlimycin (INN); Pirlimycin HCl (USAN);,,,Antibacterial
"Dextrorphan (BAN, INN); Dextrorphan HCl (USAN);",,,Vasospastic Therapy Adjunct
Sucrosofate (INN); Sucrosofate Potassium (USAN);,,,Anti-Ulcerative
"Remogliflozin Etabonate (INN, USAN);",,,
CI-988,,,
"Bremelanotide (INN, USAN);",,,
"Ipratropium Bromide (BAN, FDA, INN, JAN, USAN);",,,Bronchodilator
Calcium (FDA);,,,
"Guanazodine (INN, MI);",C02CC06,"C02CC06 [CARDIOVASCULAR SYSTEM: ANTIHYPERTENSIVES: ANTIADRENERGIC AGENTS, PERIPHERALLY ACTING: Guanidine derivatives]",
"Fluvastatin Sodium (FDA, USAN, USP); Fluvastatin (BAN, INN);",C10AA04,"C10AA04 [CARDIOVASCULAR SYSTEM: LIPID MODIFYING AGENTS: LIPID MODIFYING AGENTS, PLAIN: HMG CoA reductase inhibitors]",Antihyperlipidemic; Inhibitor (HMG-CoA reductase)
"Briciclib (INN, USAN); Briciclib Sodium (USAN);",,,
Motexafin gadolinium (USAN);,,,
"Opicinumab (INN, USAN);",,,
Iodine (131i) derlotuximab biotin (INN); Iodine I-131 derlotuximab biotin (USAN);,,,
X-396,,,
Dorgenmeltucel-L (USAN);,,,
Burapitant (INN);,,,
SAF-312,,,
BI-853520,,,
DB-959,,,
FX-005,,,
AZD-8683,,,
Acumapimod (INN);,,,
NRX-1074,,,
"Sacituzumab govitecan (INN, USAN);",,,
Bemiparin,B01AB12,B01AB12 [BLOOD AND BLOOD FORMING ORGANS: ANTITHROMBOTIC AGENTS: ANTITHROMBOTIC AGENTS: Heparin group],
"Nosantine (BAN, INN);",,,
"Fuzlocillin (BAN, INN);",,,
"Sitogluside (INN, USAN);",,,Antiprostatic Hypertrophy
"Temurtide (BAN, INN, USAN);",,,Vaccine Adjuvant
AZD-5363,,,
Aurothioglucose (USP);,M01CB04,M01CB04 [MUSCULO-SKELETAL SYSTEM: ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS: SPECIFIC ANTIRHEUMATIC AGENTS: Gold preparations],
"Deleobuvir (INN, USAN); Deleobuvir Sodium (USAN);",,,
Solpecainol (INN);,,,
Dasiprotimut-T (USAN);,L03AX19,L03AX19 [ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS: IMMUNOSTIMULANTS: IMMUNOSTIMULANTS: Other immunostimulants],
"Tovetumab (INN, USAN);",,,
"Topsalysin (INN, USAN);",,,
"Valbenazine tosylate (USAN); Valbenazine (INN, USAN);",,,
"Pasireotide Diaspartate (FDA); Pasireotide pamoate (FDA); Pasireotide (INN, USAN);",H01CB05,"H01CB05 [SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS: PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES: HYPOTHALAMIC HORMONES: Somatostatin and analogues]",
"Zicronapine (INN, USAN); Zicronapine Succinate (USAN);",,,
Etirinotecan Pegol Tetrahydrochloride (USAN);,,,
"Otlertuzumab (INN, USAN);",,,
"Luspatercept (INN, USAN);",,,
"Dirithromycin (BAN, FDA, INN, USAN, USP);",J01FA13,"J01FA13 [ANTIINFECTIVES FOR SYSTEMIC USE: ANTIBACTERIALS FOR SYSTEMIC USE: MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS: Macrolides]",Antibacterial
Ladostigil Tartrate (USAN); Ladostigil (INN);,,,
GSK239512,,,
GSK2636771,,,
"Benzhydrocodone Hydrochloride (USAN); Benzhydrocodone (INN, USAN);",,,
"Peficitinib Hydrobromide (USAN); Peficitinib (INN, USAN);",,,
"Sarolaner (INN, USAN);",,,
"Venetoclax (FDA, INN, USAN);",L01XX52,L01XX52 [ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS: ANTINEOPLASTIC AGENTS: OTHER ANTINEOPLASTIC AGENTS: Other antineoplastic agents],
Asvasiran Sodium (USAN);,,,
Viagenpumatucel-L (USAN);,,,
"Ralpancizumab (INN, USAN);",,,
"Beclabuvir (INN, USAN); Beclabuvir Hydrochloride (USAN);",,,
"Solcitinib (INN, USAN);",,,
"Ipafricept (INN, USAN);",,,
"Abaloparatide (INN, USAN);",,,
"Andexanet alfa (INN, USAN);",,,
Senofilcon B (USAN);,,,
"Abemaciclib (INN, USAN);",,,
"Patidegib (INN, USAN); Patidegib hydrochloride (USAN);",,,
Riofilcon A (USAN);,,,
Acetosulfone Sodium (USAN); Sulfadiasulfone (INN); Sulfadiasulfone Sodium (INN);,,,Antibacterial (leprostatic)
"Volanesorsen (INN, USAN);",,,
RG-7602,,,
APN-1125,,,
CB-03-01,,,
PF-04634817,,,
STX-107,,,
INK-128,,,
"Velpatasvir (FDA, INN, USAN);",,,
XL-228,,,
ZYH7,,,
Elocalcitol (INN);,,,
CCX-168,,,
ARRY-502,,,
"Mirvetuximab soravtansine (INN, USAN);",,,
LY-2780301,,,
PRT-2607,,,
KW-2450,,,
PLX-3397,,,
RG-7256,,,
Capeserod (INN);,,,
KD-3010,,,
LY-2874455,,,
KC-706,,,
OMS-405,,,
Totrombopag choline (USAN);,,,
PWT-33579,,,
TTP-607,,,
ARRY-300,,,
"Glecaprevir (INN, USAN);",,,
"Trevogrumab (INN, USAN);",,,
ONT-380,,,
R-112,,,
ARQ-087,,,
ASP-3026,,,
"Itacitinib (INN, USAN); Itacitinib adipate (USAN);",,,
Hidrosmin,C05CA05,C05CA05 [CARDIOVASCULAR SYSTEM: VASOPROTECTIVES: CAPILLARY STABILIZING AGENTS: Bioflavonoids],
Rauwolfia Serpentina Root (FDA); Rauwolfia Serpentina (USP);,C02AA03; C02AA04; C02AA53,"C02AA03 [CARDIOVASCULAR SYSTEM: ANTIHYPERTENSIVES: ANTIADRENERGIC AGENTS, CENTRALLY ACTING: Rauwolfia alkaloids]; C02AA04 [CARDIOVASCULAR SYSTEM: ANTIHYPERTENSIVES: ANTIADRENERGIC AGENTS, CENTRALLY ACTING: Rauwolfia alkaloids]; C02AA53 [CARDIOVASCULAR SYSTEM: ANTIHYPERTENSIVES: ANTIADRENERGIC AGENTS, CENTRALLY ACTING: Rauwolfia alkaloids]",Antihypertensive
Ferrous carbonate,B03AA04,"B03AA04 [BLOOD AND BLOOD FORMING ORGANS: ANTIANEMIC PREPARATIONS: IRON PREPARATIONS: Iron bivalent, oral preparations]",
Tribromometacresol,D01AE03,D01AE03 [DERMATOLOGICALS: ANTIFUNGALS FOR DERMATOLOGICAL USE: ANTIFUNGALS FOR TOPICAL USE: Other antifungals for topical use],
Diphenhydramine methylbromide,D04AA33,"D04AA33 [DERMATOLOGICALS: ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.: ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.: Antihistamines for topical use]",
Technetium (99mtc) etifenin,V09DA02,V09DA02 [VARIOUS: DIAGNOSTIC RADIOPHARMACEUTICALS: HEPATIC AND RETICULO ENDOTHELIAL SYSTEM: Technetium (99mTc) compounds],
Alanyl glutamine,B05XB02,B05XB02 [BLOOD AND BLOOD FORMING ORGANS: BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS: I.V. SOLUTION ADDITIVES: Amino acids],
"Sembragiline (INN, USAN);",,,
Magnesium lactate,A12CC06,A12CC06 [ALIMENTARY TRACT AND METABOLISM: MINERAL SUPPLEMENTS: OTHER MINERAL SUPPLEMENTS: Magnesium],
Magnesium orotate,A12CC09,A12CC09 [ALIMENTARY TRACT AND METABOLISM: MINERAL SUPPLEMENTS: OTHER MINERAL SUPPLEMENTS: Magnesium],
"Somapacitan (INN, USAN);",,,
Segesterone acetate (USAN);,,,
"Etripamil (INN, USAN);",,,
Antimony pentasulfide,R05CA07,"R05CA07 [RESPIRATORY SYSTEM: COUGH AND COLD PREPARATIONS: EXPECTORANTS, EXCL. COMBINATIONS WITH COUGH SUPPRESSANTS: Expectorants]",
PF-04958242,,,
"Olipudase alfa (INN, USAN);",,,
Tetrachlorodecaoxide,,,
"Ofranergene obadenovec (INN, USAN);",,,
"Tamtuvetmab (INN, USAN);",,,
LetibotulinumtoxinA (USAN);,,,
"Galcanezumab (INN, USAN);",,,
QBW-251,,,
BKT-140,,,
SMC-021,,,
Copper oleinate,P03AX02,"P03AX02 [ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS: ECTOPARASITICIDES, INCL. SCABICIDES, INSECTICIDES AND REPELLENTS: ECTOPARASITICIDES, INCL. SCABICIDES: Other ectoparasiticides, incl. scabicides]",
"Recanaclotide (INN, USAN);",,,
"Atezolizumab (FDA, INN, USAN);",,,
Andecaliximab (INN);,,,
"Gold (198au) colloidal (INN); Gold au 198 (USAN, USP); Colloidal gold (198au) injection (JAN);",V10AX06,V10AX06 [VARIOUS: THERAPEUTIC RADIOPHARMACEUTICALS: ANTIINFLAMMATORY AGENTS: Other antiinflammatory therapeutic radiopharmaceuticals],
"Erenumab (INN, USAN);",,,
"Brazikumab (INN, USAN);",,,
"Bismuth subnitrate (JAN, USP);",A02BX12,A02BX12 [ALIMENTARY TRACT AND METABOLISM: DRUGS FOR ACID RELATED DISORDERS: DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD): Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD)],
"Ferric citrate (59fe) [injection] (INN, JAN); Ferric (59fe) citrate injection (INN);",V09XX04,V09XX04 [VARIOUS: DIAGNOSTIC RADIOPHARMACEUTICALS: OTHER DIAGNOSTIC RADIOPHARMACEUTICALS: Various diagnostic radiopharmaceuticals],
"Penimepicycline (DCF, INN, MI);",J01AA10,J01AA10 [ANTIINFECTIVES FOR SYSTEMIC USE: ANTIBACTERIALS FOR SYSTEMIC USE: TETRACYCLINES: Tetracyclines],
"Clofezone (DCF, INN, JAN);",,,
"Brotizolam (BAN, INN, JAN, USAN);",N05CD09,N05CD09 [NERVOUS SYSTEM: PSYCHOLEPTICS: HYPNOTICS AND SEDATIVES: Benzodiazepine derivatives],Sedative-Hypnotic
"Clometacin (DCF, INN, MI);",,,
Gimatecan (INN);,,,
"Teriparatide Acetate (FDA, USAN);",H05AA02,"H05AA02 [SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS: CALCIUM HOMEOSTASIS: PARATHYROID HORMONES AND ANALOGUES: Parathyroid hormones and analogues]",Diagnostic Aid (hypocalcemia)
"Iodothiouracil (BAN, INN);",,,
"Imiglucerase (BAN, FDA, INN, USAN);",A16AB02,A16AB02 [ALIMENTARY TRACT AND METABOLISM: OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS: OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS: Enzymes],Enzyme Replenisher (glucocerebrosidase)
"Seractide Acetate (FDA, USAN);",,,Hormone (adrenocorticotropic)
"Omalizumab (FDA, INN, USAN);",R03DX05,R03DX05 [RESPIRATORY SYSTEM: DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES: OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES: Other systemic drugs for obstructive airway diseases],
Insulin Zinc Susp Semisynthetic Purified Human (FDA);,,,
"Urokinase (BAN, FDA, INN, USAN);",B01AD04,B01AD04 [BLOOD AND BLOOD FORMING ORGANS: ANTITHROMBOTIC AGENTS: ANTITHROMBOTIC AGENTS: Enzymes],Plasminogen Activator
"Gemtuzumab Ozogamicin (FDA, INN, USAN);",L01XC05,L01XC05 [ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS: ANTINEOPLASTIC AGENTS: OTHER ANTINEOPLASTIC AGENTS: Monoclonal antibodies],
Tetanus Immune Globulin (USP);,J06BB02,J06BB02 [ANTIINFECTIVES FOR SYSTEMIC USE: IMMUNE SERA AND IMMUNOGLOBULINS: IMMUNOGLOBULINS: Specific immunoglobulins],Immunizing Agent (passive)
"Fludalanine (INN, USAN);",,,Antibacterial
"Atromepine (DCF, INN);",,,
Mirosamicin (INN);,,,
Sornidipine (INN);,,,
Norfloxacin Succinil (INN);,,,
"Sedecamycin (INN, USAN);",,,Antibacterial (veterinary)
Ruvazone (INN);,,,
Cythioate (BAN);,,,
Cefoselis (INN);,,,
Cloquinozine (INN);,,,
Oxazafone (INN);,,,
"Bicozamycin (INN, MI);",,,
"Manifaxine (BAN, INN);",,,
Eprobemide (INN);,,,
"Subendazole (DCF, INN);",,,
"Etarotene (INN, USAN);",,,Keratolytic
Deboxamet (INN);,,,
"Hydroxyprocaine (BAN, DCF, INN, MI);",,,
Piclonidine (INN);,,,
"Aldoxorubicin HCl (USAN); Aldoxorubicin (INN, USAN);",,,
Tenosal (INN);,,,
Lirequinil (INN);,,,
Streptonicozid (USAN);,,,Antibacterial
Pirdonium Bromide (INN);,,,
Pyrroliphene HCl (USAN);,,,Analgesic
"Zatosetron (BAN, INN); Zatosetron Maleate (USAN);",,,Antimigraine
Piperphenidol HCl,,,
Talopram (INN); Talopram HCl (USAN);,,,Potentiator (catecholamine)
Ocfentanil HCl (USAN);,,,Analgesic (narcotic)
Dipipanone HCl (MI);,,,
"Calcium Hopantenate (JAN); Hopantenic Acid (INN, MI);",,,
Roxolonium Metilsulfate (INN);,,,
"Pomaglumetad Methionil (USAN, INN, USAN);",,,
"Lauralkonium Chloride (DCF, INN);",,,
"Eliglustat Tartrate (FDA, USAN); Eliglustat (INN, USAN);",A16AX10,A16AX10 [ALIMENTARY TRACT AND METABOLISM: OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS: OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS: Various alimentary tract and metabolism products],
Pemerid Nitrate (USAN);,,,Antitussive
Oxaprotiline (INN); Oxaprotiline HCl (USAN);,,,Antidepressant
Carubicin HCl (USAN);,,,Antineoplastic
"Calcium Phosphate, Tribasic (NF);",,,Replenisher (calcium)
"Penthienate (BAN, BAN); Penthienate Bromide (MI, NF);",A03AB04,"A03AB04 [ALIMENTARY TRACT AND METABOLISM: DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS: DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS: Synthetic anticholinergics, quaternary ammonium compounds]",
Cyclophenazine HCl (USAN);,,,Antipsychotic
L-Aspartate Potassium (JAN);,,,
"Piperocaine (BAN, INN); Piperocaine HCl (MI, USP);",,,
Benzopyrronium Bromide (INN);,,,
Cefovecin Sodium (USAN);,,,
Mimbane HCl (USAN);,,,Analgesic
"Ocriplasmin (FDA, INN, USAN);",S01XA22,S01XA22 [SENSORY ORGANS: OPHTHALMOLOGICALS: OTHER OPHTHALMOLOGICALS: Other ophthalmologicals],
Cp-870893,,,
Almond Oil (NF);,,,"Pharmaceutic Aid (emollient and perfume); Pharmaceutic Aid (vehicle, oleaginous)"
Cabufocon B (USAN);,,,Contact Lens Material (hydrophobic)
Licryfilcon B (USAN);,,,Contact Lens Material (hydrophilic)
"Alprostadil Alfadex (BAN, JAN);",,,
Amg-167,,,
Pegaptanib Octasodium (USAN); Pegaptanib (INN);,S01LA03,S01LA03 [SENSORY ORGANS: OPHTHALMOLOGICALS: OCULAR VASCULAR DISORDER AGENTS: Antineovascularisation agents],
Gadodenterate (INN);,,,
"Somenopor (BAN, INN, USAN);",,,"Hormone (growth, porcine)"
Plantago Seed (USP);,,,Laxative
Stx-100,,,
Tb-402,,,
Vinafocon A (USAN);,,,Contact Lens Material (hydrophobic)
"Bandage, Gauze (USP);",,,
Anivamersen Sodium (USAN);,,,
Carlecortemcel-L (USAN);,,,
Silicon Dioxide (NF);,,,Pharmaceutic Aid (dispersing and suspending agent)
"Starch, Wheat (NF);",,,
Hokt3,,,
Hefilcon C (USAN);,,,Contact Lens Material (hydrophilic)
Medi-570,,,
L19tnfa,,,
"Aluminum Zirconium Trichlorohydrex Gly (USAN, USP);",,,Anhidrotic
Pegaldesleukin (INN);,,,
"Glycyrrhiza (JAN, MI, NF);",,,
"Hypromellose (BAN, INN, USP); Hydroxypropylmethylcellulose (JAN);",S01KA02,S01KA02 [SENSORY ORGANS: OPHTHALMOLOGICALS: SURGICAL AIDS: Viscoelastic substances],Pharmaceutic Aid (suspending agent); Pharmaceutic Aid (viscosity-increasing agent); Pharmaceutic Aid (tablet excipient)
Immune Globulin Intravenous Pentetate (USAN);,,,Diagnostic Aid
"Starch, Potato (NF);",,,
"Contusugene Ladenovec (INN, USAN);",,,
Taplitumomab Paptox (INN);,,,
Somatosalm (INN);,,,
"Vorsetuzumab mafodotin (INN, USAN);",,,
Indium In 111 Ibritumomab Tiuxetan (USP);,,,
Chloriodized Oil (USP);,,,
"Gelatin Film, Absorbable (USP);",,,
Polyoxyl 35 Castor Oil (NF);,,,Pharmaceutic Aid (surfactant); Pharmaceutic Aid (emulsifying agent)
Typhus Vaccine (USP);,,,
"Iron Sorbitex (USAN, USP);",,,Hematinic
"Sevirumab (INN, USAN);",,,Monoclonal Antibody (antiviral)
Patiromer (USAN);,,,
"Blood Group Specific Substances A, B, And AB (USP);",,,Blood Neutralizer
"Lenercept (BAN, INN, USAN);",,,Immunomodulator
Sar-279356,,,
Vifilcon A (USAN);,,,Contact Lens Material (hydrophilic)
Bismuth Magnesium Aluminosilicate (JAN);,,,
Roflufocon D (USAN);,,,
"Paraformaldehyde (JAN, MI, USP);",,,
"Saruplase (BAN, INN);",B01AD08,B01AD08 [BLOOD AND BLOOD FORMING ORGANS: ANTITHROMBOTIC AGENTS: ANTITHROMBOTIC AGENTS: Enzymes],
Sibrotuzumab (INN);,,,
"Anivamersen (INN, USAN);",,,
Lotrafilcon A (USAN);,,,
Rocky Mountain Spotted Fever Vaccine (USP);,,,
"Nagrestipen (BAN, INN, USAN);",,,Hematopoietic Inhibitor
Phemfilcon A (USAN);,,,Contact Lens Material (hydrophilic)
Lidofilcon B (USAN);,,,Contact Lens Material (hydrophilic)
"Pentetreotide (BAN, INN);",,,
"Cotton, Purified (USP); Absorbent Cotton, Purified (JAN);",,,Surgical Aid
"Vegetable Oil, Hydrogenated (NF);",,,Pharmaceutic Aid (tablet and/or capsule lubricant)
Avicatonin (INN);,,,
Ihp-2101,,,
"Dextran 70 (USAN, USP);",,,Plasma Volume Extender
"Isoniazid (BAN, FDA, INN, JAN, USP);",J04AC51; J04AC01,J04AC51 [ANTIINFECTIVES FOR SYSTEMIC USE: ANTIMYCOBACTERIALS: DRUGS FOR TREATMENT OF TUBERCULOSIS: Hydrazides]; J04AC01 [ANTIINFECTIVES FOR SYSTEMIC USE: ANTIMYCOBACTERIALS: DRUGS FOR TREATMENT OF TUBERCULOSIS: Hydrazides],Antibacterial (tuberculostatic)
"Marimastat (BAN, INN, USAN);",,,Antineoplastic (matrix metalloproteinase inhibitor)
Tetraethylammonium Chloride (MI); Tetrylammonium Bromide (INN);,,,
"Tolamolol (BAN, INN, USAN);",,,Vasodilator (coronary); Anti-Adrenergic (beta-receptor); Cardiac Depressant (anti-arrhythmic)
"Glipizide (BAN, FDA, INN, USAN, USP);",A10BB07,"A10BB07 [ALIMENTARY TRACT AND METABOLISM: DRUGS USED IN DIABETES: BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS: Sulfonylureas]",Antidiabetic
"Novobiocin sodium (FDA, USP); Novobiocin (BAN, INN); Novobiocin Calcium (USP);",,,Antibacterial
Intermedine (INN);,,,
"Phenytoin (BAN, FDA, INN, JAN, USAN, USP); Phenytoin Sodium (FDA, JAN, USP);",N03AB02; N03AB52,N03AB02 [NERVOUS SYSTEM: ANTIEPILEPTICS: ANTIEPILEPTICS: Hydantoin derivatives]; N03AB52 [NERVOUS SYSTEM: ANTIEPILEPTICS: ANTIEPILEPTICS: Hydantoin derivatives],Anticonvulsant
"Hycanthone (INN, USAN); Hycanthone Mesylate (MI);",,,Antischistosomal
"Clociguanil (BAN, INN);",,,
"Trimethobenzamide (INN); Trimethobenzamide HCl (FDA, USP);",R06AA10,R06AA10 [RESPIRATORY SYSTEM: ANTIHISTAMINES FOR SYSTEMIC USE: ANTIHISTAMINES FOR SYSTEMIC USE: Aminoalkyl ethers],Anti-Emetic
"Cefatrizine (BAN, INN, USAN);",J01DB07,J01DB07 [ANTIINFECTIVES FOR SYSTEMIC USE: ANTIBACTERIALS FOR SYSTEMIC USE: OTHER BETA-LACTAM ANTIBACTERIALS: First-generation cephalosporins],Antibacterial
Anpirtoline (INN);,,,
Mitiglinide (INN);,A10BX08,"A10BX08 [ALIMENTARY TRACT AND METABOLISM: DRUGS USED IN DIABETES: BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS: Other blood glucose lowering drugs, excl. insulins]",
"Polidocanol (DCF, FDA, INN, JAN, MI);",C05BB02,C05BB02 [CARDIOVASCULAR SYSTEM: VASOPROTECTIVES: ANTIVARICOSE THERAPY: Sclerosing agents for local injection],
Diethyl Phthalate (NF);,,,Pharmaceutic Aid (plasticizer)
"3,5 dibromotyrosine",H03BX02,"H03BX02 [SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS: THYROID THERAPY: ANTITHYROID PREPARATIONS: Other antithyroid preparations]",
Imitrodast (INN);,,,
"Trihexyphenidyl (BAN, INN); Benzhexol (BAN); Trihexyphenidyl HCl (FDA, JAN, USP);",N04AA01,N04AA01 [NERVOUS SYSTEM: ANTI-PARKINSON DRUGS: ANTICHOLINERGIC AGENTS: Tertiary amines],Anticholinergic; Antiparkinsonian
Tisopurine (INN);,M04AA02,M04AA02 [MUSCULO-SKELETAL SYSTEM: ANTIGOUT PREPARATIONS: ANTIGOUT PREPARATIONS: Preparations inhibiting uric acid production],
Rafabegron (INN);,,,
Fasiplon (INN);,,,
"Varespladib sodium (USAN); Varepladib (INN); Varespladib (INN, USAN);",,,
"Thyropropic Acid (INN, MI);",,,
Cilnidipine (INN);,C08CA14,C08CA14 [CARDIOVASCULAR SYSTEM: CALCIUM CHANNEL BLOCKERS: SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS: Dihydropyridine derivatives],
"Calusterone (INN, USAN);",,,Antineoplastic
"L-Phenylalanine (JAN); Phenylalanine (INN, JAN, USAN, USP);",,,Amino Acid
Tabimorelin (INN);,,,
"Rosoxacin (BAN, INN, USAN); Acrosoxacin (BAN);",J01MB01,J01MB01 [ANTIINFECTIVES FOR SYSTEMIC USE: ANTIBACTERIALS FOR SYSTEMIC USE: QUINOLONE ANTIBACTERIALS: Other quinolones],Antibacterial
"Azatadine Maleate (FDA, USAN, USP); Azatadine (BAN, INN);",R06AX09,R06AX09 [RESPIRATORY SYSTEM: ANTIHISTAMINES FOR SYSTEMIC USE: ANTIHISTAMINES FOR SYSTEMIC USE: Other antihistamines for systemic use],Antihistaminic
"Azepindole (INN, USAN);",,,Antidepressant
"Orlistat (BAN, FDA, INN, USAN);",A08AB01,"A08AB01 [ALIMENTARY TRACT AND METABOLISM: ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS: ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS: Peripherally acting antiobesity products]",Inhibitor (pancreatic lipase)
"Fosfosal (INN, MI);",,,
"Moprolol (INN, MI);",,,
"Fenretinide (INN, USAN);",,,Antineoplastic
"Laurocapram (INN, USAN);",,,Pharmaceutic Aid (excipient)
